(1505, 6.618036653964798)
(1507, 6.304188864514781)
(1515, 7.488374666097649)
(1520, 6.245398773006135)
(1524, 7.282010767790262)
(1525, 6.725231175693527)
(1527, 6.2732673267326735)
(1541, 6.686988171064604)
(1563, 7.118026937380641)
(1564, 6.637543803759159)
(1568, 5.939014227037323)
(1572, 6.454429775727692)
(1574, 6.912396961370616)
(1575, 7.222199739846799)
(1579, 6.439912983741699)
(1581, 6.429916137790365)
(1582, 6.701432170799628)
(1584, 6.841521753183787)
(1587, 6.457773428626347)
(1588, 7.119433198380567)
(1589, 6.383305379950974)
(1590, 6.597889965152678)
(1592, 6.391694367287464)
(1593, 6.728454172366621)
(1594, 6.576162215628091)
(1595, 6.875696471212523)
(1597, 6.236829836829837)
(1598, 6.276731054977712)
(1600, 7.143155843587161)
(1602, 6.819218241042345)
(1603, 6.018793768758039)
(1605, 6.628552097428958)
(1606, 6.511894337419731)
(1607, 6.871673217996545)
(1610, 6.656779661016949)
(1611, 6.214554697797025)
(1612, 6.57619948792163)
(1614, 5.8301639344262295)
(1618, 5.8192638307251485)
(1619, 6.698059360730594)
(1620, 6.226064455422254)
(1621, 5.9896610749743235)
(1623, 6.1442478975931065)
(1624, 6.62643577837517)
(1625, 6.33840465510971)
(1626, 6.155630683142924)
(1628, 6.790419161676646)
(1629, 6.357669910279027)
(1630, 6.361919308572067)
(1631, 6.024923007407936)
(1632, 6.812932474349797)
(1634, 6.627393713115741)
(1635, 6.936775487185914)
(1636, 6.222304283604136)
(1637, 6.808776964611265)
(1638, 6.4950767166569285)
(1640, 6.307531716717521)
(1641, 6.0997405293201865)
(1642, 6.193620178041543)
(1643, 6.604592890381915)
(1644, 6.409374851988486)
(1645, 6.517267222846774)
(1646, 5.611331099604021)
(1647, 6.54434410915473)
(1648, 7.058296175159123)
(1649, 6.82589276264262)
(1650, 6.367462832074092)
(1651, 6.634582453212333)
(1652, 6.201500678498257)
(1653, 6.188870460095859)
(1654, 6.852890820492559)
(1655, 6.606080634500992)
(1656, 6.5137860893910915)
(1657, 6.713601652478718)
(1658, 6.5146976873781)
(1659, 6.803057824647354)
(1660, 6.647505326704546)
(1661, 6.791151868620981)
(1662, 6.507185703574106)
(1663, 6.7099121886036075)
(1664, 6.408772066257097)
(1665, 6.917614715404511)
(1666, 6.5515939131400645)
(1667, 6.4466150301485365)
(1668, 6.667928401221427)
(1669, 6.463226170332769)
(1670, 6.641778657388196)
(1671, 6.222729057789325)
(1672, 6.521991701244813)
(1673, 6.696925750787184)
(1674, 6.343604960815643)
(1675, 6.629882628455262)
(1676, 6.49479866393978)
(1677, 6.644463748673598)
(1678, 6.6536848766083105)
(1679, 6.587285883247064)
(1680, 6.348564622699474)
(1681, 6.4777186692500095)
(1682, 6.584046999925383)
(1683, 6.547390475957091)
(1684, 6.404605289903976)
(1685, 6.436988430322915)
(1686, 6.388888235409437)
(1687, 6.66137467224627)
(1688, 6.648981753100278)
(1689, 6.446604914247166)
(1690, 6.462106755490583)
(1691, 6.859395393135561)
(1692, 6.543304528620623)
(1693, 6.536538452291077)
(1694, 6.281092611246074)
(1695, 6.324941297152612)
(1696, 6.445510767259647)
(1697, 6.386907432129326)
(1698, 6.511971849574048)
(1699, 6.355924377292666)
(1700, 6.405638851236976)
(1701, 6.4097394383070005)
(1702, 6.450443519931729)
(1703, 6.4087572396303365)
(1704, 6.449652183715633)
(1705, 6.465696536193393)
(1706, 6.492489656347529)
(1707, 6.534322461139778)
(1708, 6.455813633864761)
(1709, 6.362910518085585)
(1710, 6.3697188516543175)
(1711, 6.513089624725419)
(1712, 6.456657630402423)
(1713, 6.386203624004061)
(1714, 6.387289578760715)
(1715, 6.518425539789175)
(1716, 6.502887701358896)
(1717, 6.451788532629996)
(1718, 6.394656002277925)
(1719, 6.220411897309359)
(1720, 6.410250123101969)
(1721, 6.422876556083296)
(1722, 6.330913848701054)
(1723, 6.345865680700792)
(1724, 6.454911196267139)
(1725, 6.4768170455125205)
(1726, 6.391512358400693)
(1727, 6.355982114335699)
(1728, 6.477045231878251)
(1729, 6.555518092306189)
(1730, 6.448473557925963)
(1731, 6.533299887262579)
(1732, 6.560385245993689)
(1733, 6.545991103060928)
(1734, 6.461494309430792)
(1735, 6.517696368894027)
(1736, 6.4670877129524085)
(1737, 6.481785896447077)
(1738, 6.505899895289759)
(1739, 6.465111020941329)
(1740, 6.449059632998174)
(1741, 6.512144197175549)
(1742, 6.400789727292735)
(1743, 6.4235103497610035)
(1744, 6.437218929434881)
(1745, 6.441363652072466)
(1746, 6.551234841036828)
(1747, 6.530298667112112)
(1748, 6.517607610333272)
(1749, 6.546219170684908)
(1750, 6.557770395737638)
(1751, 6.415961987110219)
(1752, 6.579482020014319)
(1753, 6.552691866404478)
(1754, 6.522063784577298)
(1755, 6.557490335241403)
(1756, 6.613901706340613)
(1757, 6.533325393809686)
(1758, 6.6440001567294535)
(1759, 6.726761403674608)
(1760, 6.623375783535095)
(1761, 6.786185779256278)
(1762, 6.6711143616939355)
(1763, 6.764634049871964)
(1764, 6.707021161401556)
(1765, 6.57238178247139)
(1766, 6.480620219754932)
(1767, 6.5830152370661255)
(1768, 6.623175724466259)
(1769, 6.591254201480211)
(1770, 6.602663426802089)
(1771, 6.552477307614154)
(1772, 6.515220335641002)
(1773, 6.746765015990876)
(1774, 6.684495522785447)
(1775, 6.598234928678915)
(1776, 6.639709330198645)
(1777, 6.7443450683079815)
(1778, 6.656250618714722)
(1779, 6.793925341132535)
(1780, 6.696883495101862)
(1781, 6.780632698101239)
